285,SAN MIGUEL TLACAMAMA,9,30
286,SAN MIGUEL TLACOTEPEC,12,50
287,SAN MIGUEL TULANCINGO,2,132
288,SAN MIGUEL YOTAO,8,55
289,SAN NICOLAS,13,62
290,SAN NICOLAS HIDALGO,19,47
291,SAN PABLO COATLAN,13,62
292,SAN PABLO CUATRO VENADOS,29,11
293,SAN PABLO ETLA,6,6
294,SAN PABLO HUITZO,6,114
295,SAN PABLO HUIXTEPEC,30,12
296,SAN PABLO MACUILTIANGUIS,8,55
297,SAN PABLO TIJALTEPEC,25,51
298,SAN PABLO VILLA DE MITLA,24,9
299,SAN PABLO YAGANIZA,27,61
300,SAN PEDRO AMUZGOS,18,67
301,SAN PEDRO APOSTOL,16,7
302,SAN PEDRO ATOYAC,9,75
303,SAN PEDRO CAJONOS,27,61
304,SAN PEDRO COXCALTEPEC CANTAROS,15,45
305,SAN PEDRO COMITANCILLO,21,22
306,SAN PEDRO EL ALTO,17,130
307,SAN PEDRO HUAMELULA,21,104
308,SAN PEDRO HUILOTEPEC,21,25
309,SAN PEDRO IXCATLAN,26,82
310,SAN PEDRO IXTLAHUACA,1,1
311,SAN PEDRO JALTEPETONGO,3,37
312,SAN PEDRO JICAYAN,9,75
313,SAN PEDRO JOCOTIPAC,3,37
314,SAN PEDRO JUCHATENGO,11,32
315,SAN PEDRO MARTIR,16,7
316,SAN PEDRO MARTIR QUIECHAPA,28,63
317,SAN PEDRO MARTIR YUCUXACO,25,49
318,SAN PEDRO MIXTEPEC,11,33
319,SAN PEDRO MIXTEPEC,13,63
320,SAN PEDRO MOLINOS,25,49
321,SAN PEDRO NOPALA,23,132
322,SAN PEDRO OCOPETATILLO,22,98
323,SAN PEDRO OCOTEPEC,14,57
324,SAN PEDRO POCHUTLA,17,34
325,SAN PEDRO QUIATONI,24,10
326,SAN PEDRO SOCHIAPAM,3,37
327,SAN PEDRO TAPANATEPEC,10,24
328,SAN PEDRO TAVICHE,16,7
329,SAN PEDRO TEOZACOALCO,15,131
330,SAN PEDRO TEUTILA,3,121
331,SAN PEDRO TIDAA,15,45
332,SAN PEDRO TOPILTEPEC,23,46
333,SAN PEDRO TOTOLAPAM,24,10
334,VILLA DE TUTUTEPEC DE MELCHOR OCAMPO,11,73
335,SAN PEDRO YANERI,8,55
336,SAN PEDRO YOLOX,8,55
337,SAN PEDRO Y SAN PABLO AYUTLA,14,57
338,VILLA DE ETLA,6,6
339,SAN PEDRO Y SAN PABLO TEPOSCOLULA,23,46
340,SAN PEDRO Y SAN PABLO TEQUIXTEPEC,7,119
341,SAN PEDRO YUCUNAMA,23,46
342,SAN RAYMUNDO JALPAN,1,3
343,SAN SEBASTIAN ABASOLO,24,8
344,SAN SEBASTIAN COATLAN,13,62
345,SAN SEBASTIAN IXCAPA,9,143
346,SAN SEBASTIAN NICANANDUTA,23,46
347,SAN SEBASTIAN RIO HONDO,13,63
348,SAN SEBASTIAN TECOMAXTLAHUACA,12,50
349,SAN SEBASTIAN TEITIPAC,24,8
350,SAN SEBASTIAN TUTLA,1,2
351,SAN SIMON ALMOLONGAS,13,62
352,SAN SIMON ZAHUATLAN,7,99
353,SANTA ANA,13,62
354,SANTA ANA ATEIXTLAHUACA,22,98
355,SANTA ANA CUAUHTEMOC,3,37
356,SANTA ANA DEL VALLE,24,8
357,SANTA ANA TAVELA,28,69
358,SANTA ANA TLAPACOYAN,30,12
359,SANTA ANA YARENI,8,55
360,SANTA ANA ZEGACHE,16,7
361,SANTA CATALINA QUIERI,28,63
362,SANTA CATARINA CUIXTLA,13,62
363,SANTA CATARINA IXTEPEJI,8,55
364,SANTA CATARINA JUQUILA,11,32
365,SANTA CATARINA LACHATAO,8,55
366,SANTA CATARINA LOXICHA,17,110
367,SANTA CATARINA MECHOACAN,9,29
368,SANTA CATARINA MINAS,16,7
369,SANTA CATARINA QUIANE,30,12
370,SANTA CATARINA TAYATA,25,49
371,SANTA CATARINA TICUA,25,51
372,SANTA CATARINA YOSONOTU,25,51
373,SANTA CATARINA ZAPOQUILA,7,42
374,SANTA CRUZ ACATEPEC,22,98
375,SANTA CRUZ AMILPAS,1,2
376,SANTA CRUZ DE BRAVO,19,47
377,SANTA CRUZ ITUNDUJIA,18,68
378,SANTA CRUZ MIXTEPEC,30,12
379,SANTA CRUZ NUNDACO,25,49
380,SANTA CRUZ PAPALUTLA,24,8
381,SANTA CRUZ TACACHE DE MINA,7,43
382,SANTA CRUZ TACAHUA,25,49
383,SANTA CRUZ TAYATA,25,49
384,SANTA CRUZ XITLA,13,62
385,SANTA CRUZ XOXOCOTLAN,1,109
386,SANTA CRUZ ZENZONTEPEC,20,103
387,SANTA GERTRUDIS,30,12
388,SANTA INES DEL MONTE,29,11
389,SANTA INES YATZECHE,30,12
390,SANTA LUCIA DEL CAMINO,1,1
391,SANTA LUCIA MIAHUATLAN,13,62
392,SANTA LUCIA MONTEVERDE,18,139
393,SANTA LUCIA OCOTLAN,16,7
394,SANTA MARIA ALOTEPEC,14,56
395,SANTA MARIA APAZCO,15,45
396,SANTA MARIA LA ASUNCION,22,39
397,HEROICA CIUDAD DE TLAXIACO,25,49
398,AYOQUEZCO DE ALDAMA,30,12
399,SANTA MARIA ATZOMPA,1,1
400,SANTA MARIA CAMOTLAN,7,99
401,SANTA MARIA COLOTEPEC,17,96
402,SANTA MARIA CORTIJO,9,127
403,SANTA MARIA COYOTEPEC,1,3
404,SANTA MARIA CHACHOAPAM,15,45
405,VILLA DE CHILAPA DE DIAZ,23,132
406,SANTA MARIA CHILCHOTLA,22,40
407,SANTA MARIA CHIMALAPA,10,80
408,SANTA MARIA DEL ROSARIO,25,49
409,SANTA MARIA DEL TULE,1,2
410,SANTA MARIA ECATEPEC,28,70
411,SANTA MARIA GUELACE,24,8
